"Recipient","Year","Import","Regime"
"India","2022",2582,"Electoral Authoritarian"
"India","2023",1428,"Electoral Authoritarian"
"China","1950",2570,"Autocratic"
"China","1951",2196,"Autocratic"
"China","1952",3428,"Autocratic"
"China","1953",3143,"Autocratic"
"China","1954",3499,"Autocratic"
"China","1955",1729,"Autocratic"
"China","1956",2256,"Autocratic"
"China","1957",2127,"Autocratic"
"China","1958",2779,"Autocratic"
"China","1959",3160,"Autocratic"
"China","1960",2341,"Autocratic"
"China","1961",936,"Autocratic"
"China","1962",415,"Autocratic"
"China","1963",450,"Autocratic"
"China","1964",485,"Autocratic"
"China","1965",257,"Autocratic"
"China","1966",227,"Autocratic"
"China","1967",145,"Autocratic"
"China","1968",182,"Autocratic"
"China","1969",2,"Autocratic"
"China","1970",2,"Autocratic"
"China","1971",2,"Autocratic"
"China","1972",2,"Autocratic"
"China","1973",3,"Autocratic"
"China","1974",3,"Autocratic"
"China","1975",3,"Autocratic"
"China","1976",3,"Autocratic"
"China","1977",75,"Autocratic"
"China","1978",86,"Autocratic"
"China","1979",10,"Autocratic"
"China","1980",6,"Autocratic"
"China","1981",2,"Autocratic"
"China","1982",13,"Autocratic"
"China","1983",25,"Autocratic"
"China","1984",71,"Autocratic"
"China","1985",113,"Autocratic"
"China","1986",20,"Autocratic"
"China","1987",56,"Autocratic"
"China","1988",104,"Autocratic"
"China","1989",199,"Autocratic"
"China","1990",312,"Autocratic"
"China","1991",483,"Autocratic"
"China","1992",1196,"Autocratic"
"China","1993",1243,"Autocratic"
"China","1994",320,"Autocratic"
"China","1995",716,"Autocratic"
"China","1996",1511,"Autocratic"
"China","1997",949,"Autocratic"
"China","1998",382,"Autocratic"
"China","1999",1730,"Autocratic"
"China","2000",2491,"Autocratic"
"China","2001",2773,"Autocratic"
"China","2002",2838,"Autocratic"
"China","2003",2334,"Autocratic"
"China","2004",3236,"Autocratic"
"China","2005",3478,"Autocratic"
"China","2006",2842,"Autocratic"
"China","2007",1700,"Autocratic"
"China","2008",1822,"Autocratic"
"China","2009",1386,"Autocratic"
"China","2010",979,"Autocratic"
"China","2011",1071,"Autocratic"
"China","2012",1601,"Autocratic"
"China","2013",1261,"Autocratic"
"China","2014",1041,"Autocratic"
"China","2015",1252,"Autocratic"
"China","2016",1223,"Autocratic"
"China","2017",1550,"Autocratic"
"China","2018",2029,"Autocratic"
"China","2019",1341,"Autocratic"
"China","2020",779,"Autocratic"
"China","2021",686,"Autocratic"
"China","2022",717,"Autocratic"
"China","2023",471,"Autocratic"
"Saudi Arabia","1950",0,"Autocratic"
"Saudi Arabia","1952",7,"Autocratic"
"Saudi Arabia","1953",1,"Autocratic"
"Saudi Arabia","1954",2,"Autocratic"
"Saudi Arabia","1955",16,"Autocratic"
"Saudi Arabia","1956",10,"Autocratic"
"Saudi Arabia","1957",72,"Autocratic"
"Saudi Arabia","1958",37,"Autocratic"
"Saudi Arabia","1959",8,"Autocratic"
"Saudi Arabia","1960",17,"Autocratic"
"Saudi Arabia","1961",12,"Autocratic"
"Saudi Arabia","1962",22,"Autocratic"
"Saudi Arabia","1964",5,"Autocratic"
"Saudi Arabia","1965",48,"Autocratic"
"Saudi Arabia","1966",227,"Autocratic"
"Saudi Arabia","1967",221,"Autocratic"
"Saudi Arabia","1968",448,"Autocratic"
"Saudi Arabia","1969",416,"Autocratic"
"Saudi Arabia","1970",87,"Autocratic"
"Saudi Arabia","1971",10,"Autocratic"
"Saudi Arabia","1972",120,"Autocratic"
"Saudi Arabia","1973",192,"Autocratic"
"Saudi Arabia","1974",378,"Autocratic"
"Saudi Arabia","1975",549,"Autocratic"
"Saudi Arabia","1976",696,"Autocratic"
"Saudi Arabia","1977",1021,"Autocratic"
"Saudi Arabia","1978",1020,"Autocratic"
"Saudi Arabia","1979",765,"Autocratic"
"Saudi Arabia","1980",1090,"Autocratic"
"Saudi Arabia","1981",1810,"Autocratic"
"Saudi Arabia","1982",2214,"Autocratic"
"Saudi Arabia","1983",1818,"Autocratic"
"Saudi Arabia","1984",834,"Autocratic"
"Saudi Arabia","1985",1321,"Autocratic"
"Saudi Arabia","1986",2839,"Autocratic"
"Saudi Arabia","1987",2007,"Autocratic"
"Saudi Arabia","1988",782,"Autocratic"
"Saudi Arabia","1989",1382,"Autocratic"
"Saudi Arabia","1990",2039,"Autocratic"
"Saudi Arabia","1991",1038,"Autocratic"
"Saudi Arabia","1992",1153,"Autocratic"
"Saudi Arabia","1993",2358,"Autocratic"
"Saudi Arabia","1994",981,"Autocratic"
"Saudi Arabia","1995",983,"Autocratic"
"Saudi Arabia","1996",1724,"Autocratic"
"Saudi Arabia","1997",2790,"Autocratic"
"Saudi Arabia","1998",2886,"Autocratic"
"Saudi Arabia","1999",1580,"Autocratic"
"Saudi Arabia","2000",105,"Autocratic"
"Saudi Arabia","2001",60,"Autocratic"
"Saudi Arabia","2002",560,"Autocratic"
"Saudi Arabia","2003",160,"Autocratic"
"Saudi Arabia","2004",1159,"Autocratic"
"Saudi Arabia","2005",166,"Autocratic"
"Saudi Arabia","2006",205,"Autocratic"
"Saudi Arabia","2007",227,"Autocratic"
"Saudi Arabia","2008",387,"Autocratic"
"Saudi Arabia","2009",827,"Autocratic"
"Saudi Arabia","2010",1108,"Autocratic"
"Saudi Arabia","2011",1172,"Autocratic"
"Saudi Arabia","2012",930,"Autocratic"
"Saudi Arabia","2013",1511,"Autocratic"
"Saudi Arabia","2014",2711,"Autocratic"
"Saudi Arabia","2015",3384,"Autocratic"
"Saudi Arabia","2016",2974,"Autocratic"
"Saudi Arabia","2017",3968,"Autocratic"
"Saudi Arabia","2018",3170,"Autocratic"
"Saudi Arabia","2019",3065,"Autocratic"
"Saudi Arabia","2020",2399,"Autocratic"
"Saudi Arabia","2021",1803,"Autocratic"
"Saudi Arabia","2022",3132,"Autocratic"
"Saudi Arabia","2023",1315,"Autocratic"
"Egypt","1950",152,"Autocratic"
"Egypt","1951",46,"Autocratic"
"Egypt","1952",0,"Autocratic"
"Egypt","1953",2,"Autocratic"
"Egypt","1954",133,"Autocratic"
"Egypt","1955",756,"Autocratic"
"Egypt","1956",1170,"Autocratic"
"Egypt","1957",1008,"Autocratic"
"Egypt","1958",403,"Autocratic"
"Egypt","1959",274,"Autocratic"
"Egypt","1960",153,"Autocratic"
"Egypt","1961",545,"Autocratic"
"Egypt","1962",686,"Autocratic"
"Egypt","1963",737,"Autocratic"
"Egypt","1964",844,"Autocratic"
"Egypt","1965",950,"Autocratic"
"Egypt","1966",1536,"Autocratic"
"Egypt","1967",2240,"Autocratic"
"Egypt","1968",1274,"Autocratic"
"Egypt","1969",1241,"Autocratic"
"Egypt","1970",1679,"Autocratic"
"Egypt","1971",1987,"Autocratic"
"Egypt","1972",3259,"Autocratic"
"Egypt","1973",2546,"Autocratic"
"Egypt","1974",1077,"Autocratic"
"Egypt","1975",565,"Autocratic"
"Egypt","1976",159,"Autocratic"
"Egypt","1977",410,"Autocratic"
"Egypt","1978",135,"Autocratic"
"Egypt","1979",630,"Autocratic"
"Egypt","1980",1004,"Autocratic"
"Egypt","1981",1179,"Autocratic"
"Egypt","1982",2501,"Autocratic"
"Egypt","1983",1689,"Autocratic"
"Egypt","1984",1516,"Autocratic"
"Egypt","1985",979,"Autocratic"
"Egypt","1986",1491,"Autocratic"
"Egypt","1987",1653,"Autocratic"
"Egypt","1988",427,"Autocratic"
"Egypt","1989",297,"Autocratic"
"Egypt","1990",563,"Autocratic"
"Egypt","1991",887,"Autocratic"
"Egypt","1992",973,"Autocratic"
"Egypt","1993",1257,"Autocratic"
"Egypt","1994",2020,"Autocratic"
"Egypt","1995",1703,"Autocratic"
"Egypt","1996",969,"Autocratic"
"Egypt","1997",1050,"Autocratic"
"Egypt","1998",482,"Autocratic"
"Egypt","1999",520,"Autocratic"
"Egypt","2000",834,"Autocratic"
"Egypt","2001",829,"Autocratic"
"Egypt","2002",717,"Autocratic"
"Egypt","2003",631,"Autocratic"
"Egypt","2004",648,"Autocratic"
"Egypt","2005",809,"Autocratic"
"Egypt","2006",695,"Autocratic"
"Egypt","2007",660,"Autocratic"
"Egypt","2008",326,"Autocratic"
"Egypt","2009",95,"Autocratic"
"Egypt","2010",689,"Autocratic"
"Egypt","2011",653,"Autocratic"
"Egypt","2012",308,"Electoral Authoritarian"
"Egypt","2013",719,"Autocratic"
"Egypt","2014",430,"Autocratic"
"Egypt","2015",1443,"Autocratic"
"Egypt","2016",1641,"Autocratic"
"Egypt","2017",2462,"Autocratic"
"Egypt","2018",1630,"Autocratic"
"Egypt","2019",1091,"Autocratic"
"Egypt","2020",1360,"Autocratic"
"Egypt","2021",1325,"Autocratic"
"Egypt","2022",733,"Autocratic"
"Egypt","2023",1130,"Autocratic"
"Japan","1952",8,"Democratic"
"Japan","1953",223,"Democratic"
"Japan","1954",280,"Democratic"
"Japan","1955",412,"Democratic"
"Japan","1956",770,"Democratic"
"Japan","1957",1065,"Democratic"
"Japan","1958",1205,"Democratic"
"Japan","1959",675,"Democratic"
"Japan","1960",809,"Democratic"
"Japan","1961",338,"Democratic"
"Japan","1962",221,"Democratic"
"Japan","1963",205,"Democratic"
"Japan","1964",1719,"Democratic"
"Japan","1965",1154,"Democratic"
"Japan","1966",324,"Democratic"
"Japan","1967",605,"Democratic"
"Japan","1968",553,"Democratic"
"Japan","1969",526,"Democratic"
"Japan","1970",645,"Democratic"
"Japan","1971",771,"Democratic"
"Japan","1972",671,"Democratic"
"Japan","1973",630,"Democratic"
"Japan","1974",893,"Democratic"
"Japan","1975",1774,"Democratic"
"Japan","1976",1656,"Democratic"
"Japan","1977",960,"Democratic"
"Japan","1978",1078,"Democratic"
"Japan","1979",985,"Democratic"
"Japan","1980",1057,"Democratic"
"Japan","1981",1337,"Democratic"
"Japan","1982",1450,"Democratic"
"Japan","1983",1696,"Democratic"
"Japan","1984",2052,"Democratic"
"Japan","1985",1975,"Democratic"
"Japan","1986",1894,"Democratic"
"Japan","1987",1946,"Democratic"
"Japan","1988",1998,"Democratic"
"Japan","1989",2283,"Democratic"
"Japan","1990",2682,"Democratic"
"Japan","1991",2940,"Democratic"
"Japan","1992",2519,"Democratic"
"Japan","1993",2130,"Democratic"
"Japan","1994",1025,"Democratic"
"Japan","1995",1251,"Democratic"
"Japan","1996",867,"Democratic"
"Japan","1997",839,"Democratic"
"Japan","1998",1484,"Democratic"
"Japan","1999",1252,"Democratic"
"Japan","2000",488,"Democratic"
"Japan","2001",423,"Democratic"
"Japan","2002",433,"Democratic"
"Japan","2003",457,"Democratic"
"Japan","2004",390,"Democratic"
"Japan","2005",374,"Democratic"
"Japan","2006",463,"Democratic"
"Japan","2007",553,"Democratic"
"Japan","2008",990,"Democratic"
"Japan","2009",990,"Democratic"
"Japan","2010",658,"Democratic"
"Japan","2011",300,"Democratic"
"Japan","2012",239,"Democratic"
"Japan","2013",342,"Democratic"
"Japan","2014",329,"Democratic"
"Japan","2015",356,"Democratic"
"Japan","2016",346,"Democratic"
"Japan","2017",446,"Democratic"
"Japan","2018",764,"Democratic"
"Japan","2019",992,"Democratic"
"Japan","2020",932,"Democratic"
"Japan","2021",1112,"Democratic"
"Japan","2022",1569,"Democratic"
"Japan","2023",1103,"Democratic"
"South Korea","1950",155,"Autocratic"
"South Korea","1951",256,"Autocratic"
"South Korea","1952",266,"Autocratic"
"South Korea","1953",263,"Autocratic"
"South Korea","1954",158,"Autocratic"
"South Korea","1955",351,"Autocratic"
"South Korea","1956",461,"Autocratic"
"South Korea","1957",295,"Autocratic"
"South Korea","1958",269,"Autocratic"
"South Korea","1959",257,"Autocratic"
"South Korea","1960",200,"Autocratic"
"South Korea","1961",180,"Autocratic"
"South Korea","1962",132,"Autocratic"
"South Korea","1963",218,"Autocratic"
"South Korea","1964",283,"Autocratic"
"South Korea","1965",631,"Autocratic"
"South Korea","1966",570,"Autocratic"
"South Korea","1967",130,"Autocratic"
"South Korea","1968",357,"Autocratic"
"South Korea","1969",499,"Autocratic"
"South Korea","1970",93,"Autocratic"
"South Korea","1971",235,"Autocratic"
"South Korea","1972",373,"Autocratic"
"South Korea","1973",253,"Autocratic"
"South Korea","1974",450,"Autocratic"
"South Korea","1975",653,"Autocratic"
"South Korea","1976",555,"Autocratic"
"South Korea","1977",1198,"Autocratic"
"South Korea","1978",376,"Autocratic"
"South Korea","1979",1349,"Autocratic"
"South Korea","1980",915,"Autocratic"
"South Korea","1981",887,"Autocratic"
"South Korea","1982",677,"Autocratic"
"South Korea","1983",496,"Autocratic"
"South Korea","1984",524,"Autocratic"
"South Korea","1985",764,"Electoral Authoritarian"
"South Korea","1986",869,"Electoral Authoritarian"
"South Korea","1987",771,"Electoral Authoritarian"
"South Korea","1988",1220,"Democratic"
"South Korea","1989",1849,"Democratic"
"South Korea","1990",1214,"Democratic"
"South Korea","1991",921,"Democratic"
"South Korea","1992",795,"Democratic"
"South Korea","1993",1024,"Democratic"
"South Korea","1994",1029,"Democratic"
"South Korea","1995",1965,"Democratic"
"South Korea","1996",1984,"Democratic"
"South Korea","1997",1230,"Democratic"
"South Korea","1998",1417,"Democratic"
"South Korea","1999",1636,"Democratic"
"South Korea","2000",1399,"Democratic"
"South Korea","2001",774,"Democratic"
"South Korea","2002",520,"Democratic"
"South Korea","2003",754,"Democratic"
"South Korea","2004",1055,"Democratic"
"South Korea","2005",802,"Democratic"
"South Korea","2006",1659,"Democratic"
"South Korea","2007",1730,"Democratic"
"South Korea","2008",1691,"Democratic"
"South Korea","2009",798,"Democratic"
"South Korea","2010",1299,"Democratic"
"South Korea","2011",1568,"Democratic"
"South Korea","2012",1076,"Democratic"
"South Korea","2013",189,"Democratic"
"South Korea","2014",742,"Democratic"
"South Korea","2015",268,"Democratic"
"South Korea","2016",1038,"Democratic"
"South Korea","2017",962,"Democratic"
"South Korea","2018",1030,"Democratic"
"South Korea","2019",1605,"Democratic"
"South Korea","2020",1273,"Democratic"
"South Korea","2021",812,"Democratic"
"South Korea","2022",423,"Democratic"
"South Korea","2023",189,"Democratic"
"Germany","1955",85,"Democratic"
"Germany","1956",1374,"Democratic"
"Germany","1957",2285,"Democratic"
"Germany","1958",2835,"Democratic"
"Germany","1959",1562,"Democratic"
"Germany","1960",2072,"Democratic"
"Germany","1961",2043,"Democratic"
"Germany","1962",2482,"Democratic"
"Germany","1963",3297,"Democratic"
"Germany","1964",3723,"Democratic"
"Germany","1965",3334,"Democratic"
"Germany","1966",3225,"Democratic"
"Germany","1967",1371,"Democratic"
"Germany","1968",1238,"Democratic"
"Germany","1969",1263,"Democratic"
"Germany","1970",1419,"Democratic"
"Germany","1971",2404,"Democratic"
"Germany","1972",793,"Democratic"
"Germany","1973",1721,"Democratic"
"Germany","1974",2141,"Democratic"
"Germany","1975",1831,"Democratic"
"Germany","1976",1387,"Democratic"
"Germany","1977",1042,"Democratic"
"Germany","1978",691,"Democratic"
"Germany","1979",65,"Democratic"
"Germany","1980",150,"Democratic"
"Germany","1981",261,"Democratic"
"Germany","1982",453,"Democratic"
"Germany","1983",434,"Democratic"
"Germany","1984",412,"Democratic"
"Germany","1985",130,"Democratic"
"Germany","1986",322,"Democratic"
"Germany","1987",334,"Democratic"
"Germany","1988",443,"Democratic"
"Germany","1989",701,"Democratic"
"Germany","1990",710,"Democratic"
"Germany","1991",688,"Democratic"
"Germany","1992",679,"Democratic"
"Germany","1993",529,"Democratic"
"Germany","1994",417,"Democratic"
"Germany","1995",222,"Democratic"
"Germany","1996",244,"Democratic"
"Germany","1997",60,"Democratic"
"Germany","1998",543,"Democratic"
"Germany","1999",129,"Democratic"
"Germany","2000",113,"Democratic"
"Germany","2001",133,"Democratic"
"Germany","2002",71,"Democratic"
"Germany","2003",63,"Democratic"
"Germany","2004",237,"Democratic"
"Germany","2005",199,"Democratic"
"Germany","2006",406,"Democratic"
"Germany","2007",46,"Democratic"
"Germany","2008",278,"Democratic"
"Germany","2009",331,"Democratic"
"Germany","2010",307,"Democratic"
"Germany","2011",84,"Democratic"
"Germany","2012",131,"Democratic"
"Germany","2013",113,"Democratic"
"Germany","2014",95,"Democratic"
"Germany","2015",96,"Democratic"
"Germany","2016",55,"Democratic"
"Germany","2017",43,"Democratic"
"Germany","2018",14,"Democratic"
"Germany","2019",38,"Democratic"
"Germany","2020",101,"Democratic"
"Germany","2021",240,"Democratic"
"Germany","2022",288,"Democratic"
"Germany","2023",204,"Democratic"
"Iraq","1952",59,"Autocratic"
"Iraq","1953",53,"Autocratic"
"Iraq","1954",19,"Autocratic"
"Iraq","1955",61,"Autocratic"
"Iraq","1956",105,"Autocratic"
"Iraq","1957",38,"Autocratic"
"Iraq","1958",186,"Autocratic"
"Iraq","1959",170,"Autocratic"
"Iraq","1960",168,"Autocratic"
"Iraq","1961",118,"Autocratic"
"Iraq","1962",278,"Autocratic"
"Iraq","1963",201,"Autocratic"
"Iraq","1964",321,"Autocratic"
"Iraq","1965",248,"Autocratic"
"Iraq","1966",341,"Autocratic"
"Iraq","1967",364,"Autocratic"
"Iraq","1968",392,"Autocratic"
"Iraq","1969",418,"Autocratic"
"Iraq","1970",185,"Autocratic"
"Iraq","1971",187,"Autocratic"
"Iraq","1972",627,"Autocratic"
"Iraq","1973",1846,"Autocratic"
"Iraq","1974",1425,"Autocratic"
"Iraq","1975",1113,"Autocratic"
"Iraq","1976",1136,"Autocratic"
"Iraq","1977",1059,"Autocratic"
"Iraq","1978",1782,"Autocratic"
"Iraq","1979",1362,"Autocratic"
"Iraq","1980",2246,"Autocratic"
"Iraq","1981",2574,"Autocratic"
"Iraq","1982",3258,"Autocratic"
"Iraq","1983",3373,"Autocratic"
"Iraq","1984",4540,"Autocratic"
"Iraq","1985",3903,"Autocratic"
"Iraq","1986",3355,"Autocratic"
"Iraq","1987",3461,"Autocratic"
"Iraq","1988",1905,"Autocratic"
"Iraq","1989",1505,"Autocratic"
"Iraq","1990",818,"Autocratic"
"Iraq","2004",74,"Autocratic"
"Iraq","2005",196,"Autocratic"
"Iraq","2006",308,"Electoral Authoritarian"
"Iraq","2007",299,"Electoral Authoritarian"
"Iraq","2008",382,"Electoral Authoritarian"
"Iraq","2009",419,"Electoral Authoritarian"
"Iraq","2010",474,"Electoral Authoritarian"
"Iraq","2011",621,"Electoral Authoritarian"
"Iraq","2012",520,"Electoral Authoritarian"
"Iraq","2013",373,"Electoral Authoritarian"
"Iraq","2014",629,"Electoral Authoritarian"
"Iraq","2015",1489,"Electoral Authoritarian"
"Iraq","2016",1823,"Electoral Authoritarian"
"Iraq","2017",945,"Electoral Authoritarian"
"Iraq","2018",454,"Electoral Authoritarian"
"Iraq","2019",145,"Electoral Authoritarian"
"Iraq","2020",5,"Electoral Authoritarian"
"Iraq","2022",55,"Electoral Authoritarian"
"Iraq","2023",6,"Electoral Authoritarian"
"Iran","1950",4,"Autocratic"
"Iran","1951",6,"Autocratic"
"Iran","1952",0,"Autocratic"
"Iran","1953",1,"Autocratic"
"Iran","1954",11,"Autocratic"
"Iran","1955",30,"Autocratic"
"Iran","1956",41,"Autocratic"
"Iran","1957",36,"Autocratic"
"Iran","1958",160,"Autocratic"
"Iran","1959",109,"Autocratic"
"Iran","1960",84,"Autocratic"
"Iran","1961",107,"Autocratic"
"Iran","1962",127,"Autocratic"
"Iran","1963",139,"Autocratic"
"Iran","1964",141,"Autocratic"
"Iran","1965",171,"Autocratic"
"Iran","1966",407,"Autocratic"
"Iran","1967",249,"Autocratic"
"Iran","1968",848,"Autocratic"
"Iran","1969",1305,"Autocratic"
"Iran","1970",1234,"Autocratic"
"Iran","1971",1795,"Autocratic"
"Iran","1972",1392,"Autocratic"
"Iran","1973",2049,"Autocratic"
"Iran","1974",2870,"Autocratic"
"Iran","1975",5230,"Autocratic"
"Iran","1976",4654,"Autocratic"
"Iran","1977",5710,"Autocratic"
"Iran","1978",3742,"Autocratic"
"Iran","1979",533,"Autocratic"
"Iran","1980",278,"Autocratic"
"Iran","1981",487,"Autocratic"
"Iran","1982",498,"Autocratic"
"Iran","1983",467,"Autocratic"
"Iran","1984",558,"Autocratic"
"Iran","1985",639,"Autocratic"
"Iran","1986",805,"Autocratic"
"Iran","1987",806,"Autocratic"
"Iran","1988",466,"Autocratic"
"Iran","1989",193,"Autocratic"
"Iran","1990",447,"Autocratic"
"Iran","1991",991,"Autocratic"
"Iran","1992",403,"Autocratic"
"Iran","1993",956,"Autocratic"
"Iran","1994",450,"Autocratic"
"Iran","1995",288,"Autocratic"
"Iran","1996",607,"Autocratic"
"Iran","1997",171,"Autocratic"
"Iran","1998",373,"Autocratic"
"Iran","1999",320,"Autocratic"
"Iran","2000",424,"Autocratic"
"Iran","2001",534,"Autocratic"
"Iran","2002",441,"Autocratic"
"Iran","2003",289,"Autocratic"
"Iran","2004",123,"Autocratic"
"Iran","2005",59,"Autocratic"
"Iran","2006",424,"Autocratic"
"Iran","2007",332,"Autocratic"
"Iran","2008",63,"Autocratic"
"Iran","2009",98,"Autocratic"
"Iran","2010",96,"Autocratic"
"Iran","2011",93,"Autocratic"
"Iran","2012",41,"Autocratic"
"Iran","2013",14,"Autocratic"
"Iran","2014",14,"Autocratic"
"Iran","2015",14,"Autocratic"
"Iran","2016",413,"Autocratic"
"Iran","2017",3,"Autocratic"
"Iran","2018",3,"Autocratic"
"Iran","2019",3,"Autocratic"
"Iran","2020",2,"Autocratic"
"Iran","2023",21,"Autocratic"
"Israel","1950",53,"Democratic"
"Israel","1951",97,"Democratic"
"Israel","1952",73,"Democratic"
"Israel","1953",70,"Democratic"
"Israel","1954",2,"Democratic"
"Israel","1955",111,"Democratic"
"Israel","1956",735,"Democratic"
"Israel","1957",133,"Democratic"
"Israel","1958",143,"Democratic"
"Israel","1959",223,"Democratic"
"Israel","1960",163,"Democratic"
"Israel","1961",87,"Democratic"
"Israel","1962",271,"Democratic"
"Israel","1963",407,"Democratic"
"Israel","1964",417,"Democratic"
"Israel","1965",439,"Democratic"
"Israel","1966",324,"Democratic"
"Israel","1967",289,"Democratic"
"Israel","1968",985,"Democratic"
"Israel","1969",1387,"Democratic"
"Israel","1970",1124,"Democratic"
"Israel","1971",1340,"Democratic"
"Israel","1972",889,"Democratic"
"Israel","1973",2104,"Democratic"
"Israel","1974",1161,"Democratic"
"Israel","1975",1312,"Democratic"
"Israel","1976",1934,"Democratic"
"Israel","1977",1256,"Democratic"
"Israel","1978",1321,"Democratic"
"Israel","1979",688,"Democratic"
"Israel","1980",1250,"Democratic"
"Israel","1981",1654,"Democratic"
"Israel","1982",866,"Democratic"
"Israel","1983",487,"Democratic"
"Israel","1984",286,"Democratic"
"Israel","1985",309,"Democratic"
"Israel","1986",1185,"Democratic"
"Israel","1987",1080,"Democratic"
"Israel","1988",582,"Democratic"
"Israel","1989",24,"Democratic"
"Israel","1990",81,"Democratic"
"Israel","1991",1210,"Democratic"
"Israel","1992",1335,"Democratic"
"Israel","1993",716,"Democratic"
"Israel","1994",761,"Democratic"
"Israel","1995",366,"Democratic"
"Israel","1996",108,"Democratic"
"Israel","1997",59,"Democratic"
"Israel","1998",1289,"Democratic"
"Israel","1999",1191,"Democratic"
"Israel","2000",354,"Democratic"
"Israel","2001",116,"Democratic"
"Israel","2002",350,"Democratic"
"Israel","2003",189,"Democratic"
"Israel","2004",846,"Democratic"
"Israel","2005",1107,"Democratic"
"Israel","2006",1125,"Democratic"
"Israel","2007",840,"Democratic"
"Israel","2008",680,"Democratic"
"Israel","2009",157,"Democratic"
"Israel","2010",71,"Democratic"
"Israel","2011",86,"Democratic"
"Israel","2012",136,"Democratic"
"Israel","2013",160,"Democratic"
"Israel","2014",549,"Democratic"
"Israel","2015",688,"Democratic"
"Israel","2016",622,"Democratic"
"Israel","2017",535,"Democratic"
"Israel","2018",461,"Democratic"
"Israel","2019",486,"Democratic"
"Israel","2020",349,"Democratic"
"Israel","2021",458,"Democratic"
"Israel","2022",849,"Democratic"
"Israel","2023",857,"Democratic"
"Australia","1950",468,"Democratic"
"Australia","1951",371,"Democratic"
"Australia","1952",410,"Democratic"
"Australia","1953",153,"Democratic"
"Australia","1954",125,"Democratic"
"Australia","1955",637,"Democratic"
"Australia","1956",451,"Democratic"
"Australia","1957",445,"Democratic"
"Australia","1958",534,"Democratic"
"Australia","1959",412,"Democratic"
"Australia","1960",113,"Democratic"
"Australia","1961",40,"Democratic"
"Australia","1962",571,"Democratic"
"Australia","1963",378,"Democratic"
"Australia","1964",537,"Democratic"
"Australia","1965",920,"Democratic"
"Australia","1966",707,"Democratic"
"Australia","1967",770,"Democratic"
"Australia","1968",450,"Democratic"
"Australia","1969",818,"Democratic"
"Australia","1970",230,"Democratic"
"Australia","1971",313,"Democratic"
"Australia","1972",63,"Democratic"
"Australia","1973",716,"Democratic"
"Australia","1974",898,"Democratic"
"Australia","1975",108,"Democratic"
"Australia","1976",91,"Democratic"
"Australia","1977",278,"Democratic"
"Australia","1978",1029,"Democratic"
"Australia","1979",192,"Democratic"
"Australia","1980",404,"Democratic"
"Australia","1981",449,"Democratic"
"Australia","1982",129,"Democratic"
"Australia","1983",632,"Democratic"
"Australia","1984",622,"Democratic"
"Australia","1985",511,"Democratic"
"Australia","1986",815,"Democratic"
"Australia","1987",592,"Democratic"
"Australia","1988",743,"Democratic"
"Australia","1989",692,"Democratic"
"Australia","1990",352,"Democratic"
"Australia","1991",213,"Democratic"
